Lists,Fan2,Fan4,Fan2greater,Drop,Training
1,1.27810098293057,1.23897115789147,True,0,False
3,1.30201823733423,1.24575936168349,True,0,False
5,1.28542990548426,1.23422235230187,True,0,False
7,1.27559742474774,1.2451315503103,True,0,False
9,1.30585375093832,1.23547012533306,True,0,False
11,1.25504539167069,1.23472406926752,True,0,False
13,1.30034534615011,1.24576640869564,True,0,False
15,1.26682929799399,1.25363939692878,True,0,False
17,1.30093634304383,1.25369266911309,True,0,False
19,1.25940273195754,1.2528422282533,True,0,False
21,1.26786915690253,1.2669526089903,True,0,False
23,1.30704331944964,1.23882255663541,True,0,False
25,1.28707339842811,1.2510600329721,True,0,False
27,1.30262137973596,1.25480841858453,True,0,False
29,1.2793055392334,1.26521138354304,True,0,False
31,1.30317037557075,1.24709130927575,True,0,False
33,1.26621252786577,1.2573321832756,True,0,False
35,1.26399618540212,1.26392071556652,True,0,False
37,1.29826053581287,1.27264189175175,True,0,False
39,1.27386727698758,1.26506979238239,True,0,False
41,1.28478159918992,1.25516712862191,True,0,False
43,1.28524107413554,1.24637091984658,True,0,False
45,1.28214532466865,1.24713256020063,True,0,False
47,1.30066506670431,1.25404100260144,True,0,False
49,1.31370946706796,1.25516477425628,True,0,False
51,1.28343790264354,1.24953296646784,True,0,False
53,1.2857871934728,1.25433421003687,True,0,False
55,1.28278114347623,1.24452378883836,True,0,False
57,1.26409665523352,1.26060775531075,True,0,False
59,1.30863040036422,1.24761526182832,True,0,False
average,1.28567516448656,1.25125401935883,True,0,False
